variante,fehlerklasse,ebene,spiegelt_regel_exakt,erwartet_unentdeckt,erwartete_regeln,anmerkung,n,tp,recall,ci_unten,ci_oben,wiederholungen
F1-a,F1,zellebene,ja,False,R-001,,3000,657,0.219,0.2043138901727572,0.23423609901596634,5
F1-b,F1,zellebene,nein,False,"R-001, R-057","Der Leerstring ist auf der Rohschicht nicht von einem planmaessig leeren Feld zu unterscheiden; R-025 meldet ihn deshalb nicht. Erkennbar nur ueber die Pflichtfeldregeln. Informationsverlust der Serialisierung, kein Mangel.",3000,646,0.21533333333333332,0.20074075678768732,0.2304831252175617,5
F1-c,F1,zellebene,nein,False,R-025,"Sentinelwert; R-025 prueft eine Platzhalterliste, nicht das Fehlen selbst.",3000,1588,0.5293333333333333,0.5112842586463869,0.5473251383576856,5
F1-d,F1,zellebene,nein,False,R-025,"Sentinelwert; R-025 prueft eine Platzhalterliste, nicht das Fehlen selbst.",3000,1588,0.5293333333333333,0.5112842586463869,0.5473251383576856,5
F1-e,F1,zellebene,nein,False,R-025,"Numerisches Sentinel; nur auffindbar, wenn es in der Platzhalterliste steht.",3000,2968,0.9893333333333333,0.9849749486925495,0.9926928855181102,5
F1-f,F1,zellebene,nein,False,R-025,"Datums-Sentinel; nur auffindbar, wenn es in der Platzhalterliste steht.",3000,3000,1.0,0.9987711291961745,1.0,5
F2-a,F2,zellebene,teilweise,False,R-002,"Die Laengenbedingung von R-002 wird nur verletzt, wenn die Postleitzahl mit einer Null beginnt; sonst bleibt der Wert formal gueltig.",1124,1124,1.0,0.9967234583941655,1.0,5
F2-b,F2,zellebene,ja,False,R-002,,3000,3000,1.0,0.9987711291961745,1.0,5
F2-c,F2,zellebene,ja,False,R-004,,3000,3000,1.0,0.9987711291961745,1.0,5
F2-d,F2,zellebene,ja,False,R-003,,3000,3000,1.0,0.9987711291961745,1.0,5
F2-e,F2,zellebene,ja,False,R-005,,3000,3000,1.0,0.9987711291961745,1.0,5
F2-f,F2,zellebene,ja,False,R-009,,3000,3000,1.0,0.9987711291961745,1.0,5
F2-g,F2,zellebene,ja,False,R-009,,3000,3000,1.0,0.9987711291961745,1.0,5
F2-h,F2,zellebene,nein,False,R-008,Fremdformat aus einer anderen Schnittstelle; keine Regel zielt darauf.,3000,3000,1.0,0.9987711291961745,1.0,5
F2-i,F2,zellebene,nein,False,R-008,Excel-Serial; keine Regel zielt auf diese Darstellung.,3000,3000,1.0,0.9987711291961745,1.0,5
F2-j,F2,zellebene,ja,False,R-007,,3000,3000,1.0,0.9987711291961745,1.0,5
F2-k,F2,zellebene,teilweise,False,R-007,"Kleinbuchstaben in der TSN; die Musterbedingung schliesst sie nicht ausdruecklich aus, sondern nur ueber die Zeichenklasse.",3000,3000,1.0,0.9987711291961745,1.0,5
F2-l,F2,zellebene,ja,False,R-006,,3000,3000,1.0,0.9987711291961745,1.0,5
F3-a,F3,zellebene,ja,False,R-014,,3000,3000,1.0,0.9987711291961745,1.0,5
F3-b,F3,zellebene,ja,False,R-014,,3000,3000,1.0,0.9987711291961745,1.0,5
F3-c,F3,zellebene,nein,False,R-013,Typfehler statt Bereichsfehler; die Bereichsregel greift nicht.,3000,0,0.0,0.0,0.0012288708038255115,5
F3-d,F3,zellebene,ja,False,R-010,,3000,3000,1.0,0.9987711291961745,1.0,5
F3-e,F3,zellebene,ja,False,R-010,,3000,3000,1.0,0.9987711291961745,1.0,5
F3-f,F3,zellebene,ja,False,R-016,,3000,3000,1.0,0.9987711291961745,1.0,5
F3-g,F3,zellebene,nein,False,R-011,Darstellungswechsel der SF-Klasse; keine Bereichsregel zielt darauf.,3000,3000,1.0,0.9987711291961745,1.0,5
F3-h,F3,zellebene,ja,False,R-017,,3000,3000,1.0,0.9987711291961745,1.0,5
F3-i,F3,zellebene,ja,False,R-015,,3000,3000,1.0,0.9987711291961745,1.0,5
F4-a,F4,zellebene,ja,False,R-026,,3000,3000,1.0,0.9987711291961745,1.0,5
F4-b,F4,zellebene,ja,False,R-023,,3000,3000,1.0,0.9987711291961745,1.0,5
F4-c,F4,zellebene,ja,False,R-022,,3000,3000,1.0,0.9987711291961745,1.0,5
F4-d,F4,zellebene,ja,False,R-022,Grenzfall knapp unterhalb der Schwelle.,3000,3000,1.0,0.9987711291961745,1.0,5
F4-e,F4,zellebene,ja,False,R-038,,3000,3000,1.0,0.9987711291961745,1.0,5
F4-f,F4,zellebene,ja,False,R-024,,57,57,1.0,0.9373325190855151,1.0,5
F4-g,F4,zellebene,ja,False,R-021,,3000,3000,1.0,0.9987711291961745,1.0,5
F5-a,F5,zellebene,ja,False,R-031,,3000,3000,1.0,0.9987711291961745,1.0,5
F5-b,F5,zellebene,ja,False,"R-032, R-033",,3000,3000,1.0,0.9987711291961745,1.0,5
F5-c,F5,zellebene,ja,False,R-033,,3000,3000,1.0,0.9987711291961745,1.0,5
F5-d,F5,zellebene,ja,False,R-031,Grenzfall knapp oberhalb der Toleranz von R-031.,3000,3000,1.0,0.9987711291961745,1.0,5
